zip,description,timestamp
48827,15 individuals Monthly,10/28/2020 16:28:17
44308,6 individuals Monthly,10/30/2020 12:04:52
,,
48911,4 individuals Monthly,10/30/2020 13:01:03
48108,6 individuals Monthly,10/30/2020 16:17:19
,,
48104,4 individuals Weekly,10/31/2020 14:01:59
,,
49071,2 individuals Biweekly,11/1/2020 8:48:48
43725,5 individuals Weekly,11/1/2020 10:52:01
46201,5 individuals Monthly,11/2/2020 14:28:05
47404,3 individuals Weekly,11/2/2020 20:03:39
,,
43229,2 individuals Weekly,11/18/2020 11:05:27
44039,9 individuals Weekly,11/18/2020 11:25:31
